Name,Agrivoltaic Activities,System Size,Site Size,Year Installed,PV Technology,Type Of Array,Habitat Type,Crop Types,Animal Type
DVL Solar,Habitat,1.4,10.75,2019,,Single-axis Tracking,Pollinator,,
Delphinus Community Solar,Habitat,2.6,12.13,2018,Other,Fixed,Pollinator,,
Denison University Bioreserve Array,Habitat,2.3,10,2017,,Single-axis Tracking,Pollinator,,
Denn Solar,Habitat,7,31.2,2019,,Fixed,Pollinator,,
Devine Johnson,Habitat,5,4,,,Fixed,Native grasses,,
Dighton,Grazing,4.5,24.8,2017,,,,,Sheep
Dighton Tremont St Agrivoltaic Project,"Crop Production,Habitat,Grazing",3.6,19,2023,Bifacial PV,Single-axis Tracking,"Naturalized, Pollinator",Mixed vegetables,Sheep
Dodge center,Habitat,9.9,58.6,2016,Monofacial PV,Single-axis Tracking,Pollinator,,
Domino Farms Solar Farm,Habitat,1.1,12,2015,Monofacial PV,Fixed,Pollinator,,
Dot Com Solar,Habitat,1.6,9.7,2021,,Single-axis Tracking,Pollinator,,
Douglas Oak St Agrivoltaic Project,"Crop Production,Habitat,Grazing",3.5,20,2024,Bifacial PV,Single-axis Tracking,"Naturalized, Pollinator",Hay,Cattle
Downsville DPC Solar,Habitat,1.4,9.5,2017,,Single-axis Tracking,Pollinator,,
Dubhe Solar,Habitat,1.4,10.3,2018,,Single-axis Tracking,Pollinator,,
Dundas Solar Holdings LLC,Habitat,6.6,37.39,2018,,Fixed,Pollinator,,
Dynamic Agrivoltaic Shelterbelt,Crop Production,0.0065,0.23,2024,Bifacial PV,Single-axis Tracking,,,
E.W. Brown Solar Facility,"Habitat,Grazing",10,50,2016,,Fixed,,,Sheep
EHW Solar,Habitat,0.6,7.2,2019,,Single-axis Tracking,Pollinator,,
ER Salvage Yard- Hess,Habitat,2.8,9.35,2021,,Fixed,Pollinator,,
Eagle Point,Habitat,13.1,41,2017,Monofacial PV,Single-axis Tracking,,,
Easton Wastewater Treatment Plant,Habitat,2,16,2021,,Fixed,Pollinator,,
Eastwood Q,Habitat,8.2,48.4,2016,Monofacial PV,Single-axis Tracking,Pollinator,,
Eau Claire Electric Cooperative Membersolar Array,Grazing,0.858,4,2016,,Fixed,,,Sheep
Edwardsville Solar II,Habitat,2.8,18.13,2021,,Single-axis Tracking,Pollinator,,
Eggo Solar,Habitat,1.4,11.2,2019,,Single-axis Tracking,Pollinator,,
Eichtens II CSG,Habitat,1.4,7.57,2018,,Fixed,Pollinator,,
Eiffel Solar,Grazing,314,1500,2022,,Single-axis Tracking,,,Sheep
Electric City Solar,Habitat,18.9,130,2020,Monofacial PV,Single-axis Tracking,"Pollinator, Native grasses",,
Erin Garden Solar,Habitat,1.3,4.8,2020,,Fixed,Native grasses,,
Everson Garden,Habitat,1.5,7.34,2022,,Single-axis Tracking,Pollinator,,
FL Starratt,Grazing,7,27,2017,,,,,Sheep
Fall River,Habitat,98.84,200,2022,,Single-axis Tracking,"Pollinator, Native grasses",,
Falls Creek Garden,Habitat,1.3,4.85,2020,,Fixed,Native grasses,,
Fargo Road Solar,Habitat,3.2,17.5,2022,Bifacial PV,Single-axis Tracking,Pollinator,,
Farmington Holdco Solar,"Habitat,Grazing",6.2,27.78,2017,Monofacial PV,Fixed,Pollinator,,Sheep
FastSun 1,Habitat,1.3,9.68,2019,,Single-axis Tracking,Pollinator,,
FastSun 10,Habitat,1.4,8.7,2020,,Single-axis Tracking,Pollinator,,
FastSun 11,Habitat,1.4,10,2020,,Single-axis Tracking,Pollinator,,
FastSun 13,Habitat,1.3,9.21,2019,,Single-axis Tracking,Pollinator,,
FastSun 14,Habitat,1.4,14,2019,,Single-axis Tracking,Pollinator,,
FastSun 18,Habitat,1.3,10.2,2020,,Single-axis Tracking,Pollinator,,
