Name,Agrivoltaic Activities,System Size,Site Size,Year Installed,PV Technology,Type Of Array,Habitat Type,Crop Types,Animal Type
Franks II,Habitat,2.9,16.1,2020,,Single-axis Tracking,Pollinator,,
Frederick Urbana Solar,Grazing,7.5,10.8,2018,,Single-axis Tracking,,,Sheep
French Road Solar II PV,Habitat,2.8,18,2022,,Single-axis Tracking,Pollinator,,
GRE Marshan Solar,Habitat,1.2,6.5,2017,,Fixed,Pollinator,,
GSI Assumption,Habitat,2,7.5,2021,,Single-axis Tracking,Pollinator,,
GSPP Held LLC CSG,"Habitat,Grazing",4,25.3,2019,Monofacial PV,Fixed,Pollinator,,Sheep
Gardiner Our Kids Farm,Crop Production,0.028,0.15,2019,Monofacial PV,Fixed,,"Assorted vegetables - broccoli, kale, cabbage, swiss chard, strawberries, tomatoes, peppers, eggplant, squash - winter and summer, cucumbers, kohlrabi, herbs, salad greens, celery, onions, shallots, leeks, string beans and peas.",
Gardner Clark Road,"Habitat,Grazing",7.1,18.7,2020,,Fixed,Pollinator,,Sheep
Gaskell West 1 Solar Facility,Grazing,168,700,2018,,Single-axis Tracking,,,Sheep
Geauga,Habitat,0.322,2,2021,,Fixed,Pollinator,,
Gemini Community Solar,"Habitat,Grazing",3.9,18.64,2017,Other,Fixed,Pollinator,,Sheep
Geneva,Grazing,2.8,12,2015,Monofacial PV,Fixed,,,Sheep
George Hill,Grazing,4,19,,,Single-axis Tracking,,,Sheep
Georgetown Project,Habitat,0.149,2,2020,,Fixed,Pollinator,,
"Geranium Solar, LLC",Habitat,1.5,7.9,2020,,Single-axis Tracking,Pollinator,,
Giffen Solar Park,Grazing,27.9,160,2017,,Single-axis Tracking,,,Sheep
Gilcrest V,Grazing,5,25.01,2021,,Single-axis Tracking,,,Sheep
GilcrestSun,Grazing,2.2,10.905,2021,,Single-axis Tracking,,,Sheep
Gill Solar,"Habitat,Grazing",2.77,11.4,2018,,Fixed,Pollinator,,Sheep
Giveback- Salsola mowing,Habitat,2.5,13.5,2022,,,Pollinator,,
Goldtree Solar Farm,Grazing,5.6,18.5,2018,,Single-axis Tracking,,,Sheep
Good Solar,Habitat,1.4,9.7,2018,,Single-axis Tracking,Pollinator,,
Goodenow Road East Solar 1,Habitat,2.6,14.52,,Bifacial PV,Single-axis Tracking,Pollinator,,
Goodhue,"Habitat,Grazing",1.4,6.61,2018,,Fixed,Pollinator,,Sheep
Goodhue Community Solar Three,Grazing,1.4,5.09,2020,,Fixed,,,Sheep
Goodhue Community Solar Two,Grazing,1.4,7.92,2020,,Fixed,,,Sheep
Goodrich Solar,Habitat,2.7,12,2022,,Single-axis Tracking,Pollinator,,
Goose Lake,Habitat,1.9,9,2019,,Single-axis Tracking,Pollinator,,
Gopher CSG,Habitat,7.2,31,2018,Monofacial PV,Fixed,Pollinator,,
Grafton Solar,"Crop Production,Grazing",3.7,12,2016,,Fixed,,"Squash, lettuce",Cows
Grafton Solar - Old Upton Road,Grazing,1.7,4,2013,,Fixed,,,Sheep
Grand Ronde,Habitat,3.1,15.5,2017,Monofacial PV,Fixed,"Pollinator, Native grasses",,
Grande Ridge Solar Farm,Habitat,22.8,126,2012,Monofacial PV,Fixed,Pollinator,,
Greenhouse Solar,Habitat,1.4,6.2,2020,,Single-axis Tracking,Pollinator,,
Grey Cloud Solar,Habitat,1.5,8.5,2019,,Single-axis Tracking,Pollinator,,
Groton Road,Grazing,0.99,8.8,2016,,Fixed,,,Sheep
Groton School Road,Grazing,0.995,6,2016,,Fixed,,,Sheep
Growing Green - Spaces of Opportunity,Crop Production,0.0048,0.008,2024,Monofacial PV,Fixed,,Various vegetables,
H (2019),Habitat,6.4,30.5,,Monofacial PV,Fixed,Pollinator,,
Hadley 2 Solar,"Habitat,Grazing",2.41,10,2016,,Fixed,Pollinator,,Sheep
Hadley 3 (North),"Habitat,Grazing",4.6,8.1,2019,,Fixed,Pollinator,,Sheep
Hadley 3 (South),"Habitat,Grazing",2.6,7.1,2019,,Fixed,Pollinator,,Sheep
Hammer CSG,Habitat,6.4,34.64,2018,,Single-axis Tracking,Native grasses,,
Hampton,Habitat,2.5,12,2018,,Single-axis Tracking,Pollinator,,
Hancock Solar,Habitat,1.4,8.4,2021,,Single-axis Tracking,Pollinator,,
Harford Solar Farm,Grazing,2.8,12.5,2016,,Fixed,,,Sheep
Harlow Farms,Habitat,0.124,1,2019,,Fixed,Pollinator,,
Hastings Solar,Habitat,6.8,41.3,2016,Monofacial PV,Single-axis Tracking,Pollinator,,
Hatfield Renewables,"Habitat,Grazing",2.47,11.6,2017,,Fixed,Pollinator,,Sheep
Haven Solar,Habitat,4.2,9.36,2019,,Fixed,Pollinator,,
Haverhill Hilldale Ave Agrivoltaic Project,"Crop Production,Habitat,Grazing",2,25,2023,Bifacial PV,Single-axis Tracking,Pollinator,Cucurbits & solanaceous crops,Cattle
Hawai'i Agrivoltaic Research and Demonstration Center,"Crop Production,Grazing",50.1,230,2022,Bifacial PV,Single-axis Tracking,,"Radish, daikon, beets, melons, kabocha squash, broccoli, cabbage, collards, peppers, cauliflower, bush beans, eggplant, poha berries, bunching onion, lavender, strawberries, sweet potato, dryland taro, tomatoes, mamaki tea, asparagus, tea, coffee, protea, vanilla, peppercorn, maile (local vining flower) carrots, celery, cilantro, chard, lettuce, fennel, and basil",Sheep
Haywood Solar Farm,Grazing,3.9,48,2017,,Single-axis Tracking,,,Sheep
Hayworth Solar,Grazing,33.3,160,2015,Other,Single-axis Tracking,,,Sheep
Hazel,Grazing,3.8,20,2021,,Single-axis Tracking,,,Sheep
Hazlehurst II Solar Farm,Grazing,74.1,425,2016,,Single-axis Tracking,,,Sheep
Helen CSG 1,Habitat,5.6,7.5,2020,,Single-axis Tracking,Pollinator,,
Herrington Community Solar Farm,"Habitat,Grazing",7.5,25,2021,,Single-axis Tracking,Pollinator,,Sheep
Hertzberg Community Solar Garden,Habitat,1.4,8.52,2020,,Single-axis Tracking,Pollinator,,
Hobart Solar LLC,Grazing,1.3,5.3,2012,,Fixed,,,Sheep
Hockey Pad Solar,Habitat,0.4,4.3,2019,,Single-axis Tracking,Pollinator,,
Hodag,Habitat,9.7,47,2022,Bifacial PV,Single-axis Tracking,Pollinator,,
Hoot Lake Solar,Habitat,49.9,312.5,2023,,Fixed,Pollinator,,
Horne Homestead,Grazing,1.9,8,,,Fixed,,,Sheep
Horne North Solar,Habitat,1.4,8,2020,,Single-axis Tracking,Pollinator,,
Horne South Solar,Habitat,1.4,7.69,2020,,Single-axis Tracking,Pollinator,,
Houston Ranch,Grazing,98.5,706,2021,,Single-axis Tracking,,,Sheep
Houston Solar Array,Crop Production,8.5,40,2023,Bifacial PV,Fixed,,"Native berry plants, vegetable crops, and forage crops",
Hubers Solar,Habitat,1.4,8.5,2021,,Single-axis Tracking,Pollinator,,
"Huneke (CSG) 1, LLC",Grazing,1.4,7.41,2020,,Single-axis Tracking,,,Sheep
"Huneke (CSG) 2, LLC",Grazing,1.4,7.37,2020,,Single-axis Tracking,,,Sheep
Huneke II CSG,Habitat,1.4,6.7,2018,,Fixed,Pollinator,,
"Hyacinth Solar, LLC",Habitat,1.5,7.49,2020,Other,Single-axis Tracking,Pollinator,,
IMS Solar Garden,Habitat,6.513,27.4,2017,,Fixed,Pollinator,,
Idaho: Habitat,Habitat,2,5,2019,Monofacial PV,Fixed,Pollinator,,
Impact Solar I,"Habitat,Grazing",260,1900,2020,,Single-axis Tracking,Pollinator,,Sheep
Inovateus Solar - Orange,Habitat,7.5,22,2022,,Single-axis Tracking,Pollinator,,
Inovateus Solar - Walton,Habitat,3.4,2.5,2022,,Single-axis Tracking,Pollinator,,
"Iris Solar, LLC (MN)",Habitat,1.5,7.28,2020,,Single-axis Tracking,Pollinator,,
J (2019),"Grazing,Habitat",7,29.61,,Monofacial PV,Fixed,Pollinator,,Sheep
JJ Clay Solar,Habitat,1.4,8,2020,,Single-axis Tracking,Pollinator,,
JJ Solar,Habitat,1.4,9.3,2019,,Single-axis Tracking,Pollinator,,
Jacks Solar Garden,"Crop Production,Habitat,Grazing",1.1,5,2020,Monofacial PV,Single-axis Tracking,"Pollinator, Native grasses","tomato, pepper, kale, radish, eggplant, 30+ crop types",Sheep
Jackson II Solar Farm,Grazing,2,12,2022,Other,Single-axis Tracking,,,Sheep
James Madison University ISAT Solar Facility,Habitat,0.3,1.64,2022,Other,Fixed,Pollinator,,
Jeffco Solar,Habitat,1.5,6.25,2016,,Single-axis Tracking,Pollinator,,
Joe Czajkowski Farm,Crop Production,0.445,2.2,2023,Bifacial PV,Single-axis Tracking,,Broccoli,
Jonesborough II Solar,Grazing,5,70,2018,Other,Single-axis Tracking,,,Sheep
Judd Road Solar,Grazing,7.5,25,2022,,Fixed,,,Sheep
Juno Solar Project,Grazing,412,1975,2021,Other,Single-axis Tracking,,,Sheep
KVPV Solar,Habitat,1.4,8.9,2020,,Single-axis Tracking,Pollinator,,
Ka Lae Solar Farm,Grazing,0.991,4.23,,,,,,Sheep
Kankakee,Habitat,2.9,15.38,2020,,Single-axis Tracking,Pollinator,,
Kankakee Solar 4 LLC,Grazing,2.8,9.4,2020,,Single-axis Tracking,,,Sheep
Kasch Solar,Habitat,1.4,8.6,2018,,Single-axis Tracking,Pollinator,,
Kass Solar,Habitat,1.4,9.7,2021,,Fixed,Pollinator,,
Kaus Community Solar,Habitat,1.5,8.76,2019,Other,Fixed,Native grasses,,
Kearney NPPD Solar Project,Habitat,7.2,35,2017,Monofacial PV,Single-axis Tracking,Pollinator,,
Kelly Road,Grazing,1,5,2016,,Fixed,,,Sheep
Kettleman Solar,Grazing,27,220,2015,,Single-axis Tracking,,,Sheep
King 2 Solar,Habitat,1.4,11.7,2019,,Single-axis Tracking,Pollinator,,
Kirkland Project 1,Habitat,2.9,19.4,,,Single-axis Tracking,Pollinator,,
Knapp East (CSG),Grazing,6.3,22.08,2021,,Fixed,,,Sheep
Knapp West (CSG),Grazing,6.1,21.44,2021,,Fixed,,,Sheep
Kost Trail Solar,Habitat,1.4,10.9,2019,,Single-axis Tracking,Pollinator,,
Kreye,"Habitat,Grazing",4.6,27.4,,,Single-axis Tracking,Pollinator,,Sheep
Lafayette DPC Solar,Habitat,1.2,7.9,2017,,Single-axis Tracking,Pollinator,,
"Lahr 1, LLC",Habitat,7.1,36,2018,,Fixed,Pollinator,,
Lake Emily,Habitat,6.6,30.3,2016,Monofacial PV,Single-axis Tracking,Pollinator,,
Lake Herman,Habitat,7,30.1,2021,Other,Single-axis Tracking,"Pollinator, Native grasses",,
Lake Patterson Solar,Habitat,1.4,9.9,2019,,Single-axis Tracking,Pollinator,,
Lake Pulaski,Habitat,10.92,68,2016,Monofacial PV,Single-axis Tracking,Pollinator,,
Lake Waconia IV Community Solar Garden,Habitat,1.4,9.25,2018,Monofacial PV,Fixed,Pollinator,,
Lancaster Solar Farm,Grazing,114,645,2021,Other,Single-axis Tracking,,,Sheep
Lansing Renewables,Grazing,6.7,25,2020,,Single-axis Tracking,,,Sheep
Lawrence Brook,Habitat,2.79,9.4,2020,,Fixed,Pollinator,,
Lawrence Creek X,"Habitat,Grazing",5.3,24.5,2016,Monofacial PV,Single-axis Tracking,"Pollinator, Native grasses",,Sheep
LeGore Bridge Solar Center,Grazing,20,175,2022,,,,,Sheep
"Leavenworth Greenworks, LLC",Grazing,14.3,48.5,2016,,Fixed,,,Sheep
Leo Community Solar,Habitat,1.5,9.03,2018,Other,Fixed,Native grasses,,
Leven Garden Solar,Habitat,1.3,4.36,2020,,Fixed,Native grasses,,
Liberty Pole DPC Solar,Habitat,1.6,9.3,2017,,Single-axis Tracking,Pollinator,,
Linden 01 CSG,Habitat,1.5,7.46,2020,,Fixed,Pollinator,,
Linden 02 CSG,Habitat,1.5,7.46,2020,,Fixed,Pollinator,,
Linden 03 CSG,Habitat,1.5,7.46,2020,,Fixed,Pollinator,,
Logansport Municipal Utility (LMU),Habitat,19.27,80,2021,Monofacial PV,Fixed,Pollinator,,
Loon Garden,Habitat,1.3,5.125,2020,,Fixed,Native grasses,,
Luciana,Grazing,72.5,330,2022,,Single-axis Tracking,,,Sheep
Lunenburg Settlers Solar,"Habitat,Grazing",5.8,23.2,2020,,Fixed,Pollinator,,Sheep
Lyra Community Solar,"Habitat,Grazing",3.9,14.84,2018,Other,Fixed,Pollinator,,Sheep
"MSC-Empire01, LLC (Empire)",Habitat,1.5,10,2019,,Single-axis Tracking,Pollinator,,
MTSun,Habitat,103.7,675,2022,,Single-axis Tracking,"Pollinator, Native grasses",,
Macon-Bibb County,Grazing,3.9,23.06,,,,,,Sheep
Madison Fields Solar Project (MFSP),"Crop Production,Grazing",180,1280,2023,Monofacial PV,Fixed,,"Hay, Alfalfa, corn, soy",
Maine blueberry site,Crop Production,4.3,12,2021,Monofacial PV,Fixed,,Blueberries,
Manchester Solar Site,Grazing,3.8,12,2022,,Fixed,,,Sheep
Manzo Elementary School,Crop Production,0.25,1.25,2015,,Fixed,,"Potatoes, tomatoes, basil, beans, squash",
Maple City,Habitat,1.85,13.2,2022,,Fixed,"Pollinator, Native grasses",,
Mapleton Community Solar,"Habitat,Grazing",3.9,22.01,2017,Other,Fixed,Pollinator,,Sheep
Marstons Mills,Habitat,4.5,27.5,2014,,Fixed,Pollinator,,
Massachusetts farm,Crop Production,0.1,0.5,2011,Monofacial PV,Fixed,,"Squash, broccoli",
Maston Garden Solar,Habitat,1.3,6.29,2020,,Fixed,Native grasses,,
Matterhorn Community Solar,Grazing,2,14,2023,,,,,Sheep
Mauntel's Solar Sheep,"Grazing,Habitat",1.3,5,2018,,Single-axis Tracking,"Naturalized, Pollinator",,Sheep
Mayhew Solar,Habitat,1.4,9.8,2020,,Single-axis Tracking,Pollinator,,
Mechanicsville Solar Park,Grazing,35,220,2020,,Single-axis Tracking,,,Sheep
Medford DPC Solar,Habitat,2.5,16,2017,,Single-axis Tracking,Pollinator,,
Melnik Farm,"Crop Production,Grazing",0.025,0.5,2012,Monofacial PV,Fixed,,"Zucchini, broccoli, leafy greens, watermelon",Horse
Mennie South FC PV,Habitat,3,12.2,,,Fixed,Pollinator,,
Meyer Community Solar Garden,Habitat,0.441,3.16,2022,,Fixed,Pollinator,,
Michael Solar,Habitat,4.2,41,2017,Monofacial PV,Fixed,Pollinator,,
Midtown Solar,Habitat,1.4,9.86,2020,,Single-axis Tracking,Pollinator,,
Milkweed Solar,Habitat,1.4,8.8,2020,,Single-axis Tracking,Pollinator,,
Millard-newfield,Grazing,7.5,30,2019,Monofacial PV,Fixed,,,Sheep
Millington Ranch (I and II),Grazing,202,1850,2018,Other,Single-axis Tracking,,,Sheep
Million Little Sunbeams,Crop Production,0.25,1,2020,Bifacial PV,Single-axis Tracking,,Hay,
Mohawk View Solar,"Habitat,Grazing",7.5,27,2021,,Single-axis Tracking,"Pollinator, Native grasses",,Sheep
Monarch Solar,Habitat,1.4,8.7,2020,,Single-axis Tracking,Pollinator,,
Monee Solar,Grazing,2,30.13,2024,,,,,Sheep
Monroe Solar Facility,Grazing,74.6,400,2017,,Fixed,,,Sheep
Montegomery sheep farm,Grazing,25,200,2015,,Fixed,,,Sheep
Monticello Project CSG,Habitat,6.7,35.78,2018,,Single-axis Tracking,Native grasses,,
Montrose S,"Habitat,Grazing",4.98,23.46,2016,Monofacial PV,Single-axis Tracking,"Pollinator, Native grasses",,Sheep
Morgan Community Solar,"Habitat,Grazing",3.9,21.74,2017,Other,Fixed,Pollinator,,Sheep
Mossberg Drive,Grazing,0.65,6,2015,,Fixed,,,Sheep
Mount Tom,Habitat,5.85,22,2017,Monofacial PV,Fixed,Pollinator,,
Mt. Hope DPC Solar,Habitat,1.5,10.6,2017,,Single-axis Tracking,Pollinator,,
Mud Garden Solar,Habitat,1.3,4.61,2020,,Fixed,Native grasses,,
Mulberry Solar,Grazing,2,9.76,2023,,,,,Sheep
Musgrave,Grazing,5.6,22,2016,Monofacial PV,Fixed,,,Sheep
Mustang Two Solar Facility,Grazing,211,1160,2020,,Single-axis Tracking,,,Sheep
NREL Bifacial Plot (BARN),"Crop Production,Habitat",0.075,0.3,2019,Bifacial PV,Single-axis Tracking,Pollinator,"Tomatoes, pepper, kale, chard, carrot, beans",
NREL National Wind Technology Center Solar Vegetation Test Plot,Habitat,1.1,8,2009,Monofacial PV,Single-axis Tracking,Native grasses,,
Nash Creek Solar,Habitat,2.4,12,,Monofacial PV,Single-axis Tracking,Pollinator,,
National Center for Appropriate Technology,"Crop Production,Habitat",0.045,0.225,2016,,Fixed,"Pollinator, Native grasses",Spring wheat,
Native Hill Farm,Crop Production,0.016,0.5,2023,Bifacial PV,Single-axis Tracking,,"Beans, Broccoli, Carrots, Peppers, Potatoes",
Nesvold Watertown Solar,Habitat,7,33,2018,Monofacial PV,Fixed,Pollinator,,
New Auburn DPC Solar,Habitat,3.7,17.6,2018,,Single-axis Tracking,Pollinator,,
New Mexico State University,Crop Production,,,2022,,,,Chiles,
New Munich Solar,Habitat,1.4,11.5,2019,,Single-axis Tracking,Pollinator,,
Niagara University,Grazing,4,17,2023,,,,,Sheep
Nillie Corn Solar,Habitat,1.4,9.1,2018,,Single-axis Tracking,Pollinator,,
Norelius Solar,Habitat,1.4,9.5,2019,,Single-axis Tracking,Pollinator,,
North Eagle Village Solar,Grazing,7.5,22.8,2022,,Fixed,,,Sheep
North Star Solar Project,"Habitat,Grazing",138,850,2016,,Single-axis Tracking,Native grasses,,Sheep
Northfield Community Solar,"Habitat,Grazing",6.5,38.81,2016,Other,Fixed,Pollinator,,Sheep
Northfield Solar CSG,Habitat,7.2,26.24,2020,,Fixed,Pollinator,,
Novel Brooten Solar CSG,Habitat,1.5,13.3,2019,,Fixed,Pollinator,,
Novel Energy,Habitat,9.4,58,2021,,Single-axis Tracking,Pollinator,,
Novel OYA of Osakis CSG,Habitat,7.2,36.67,2018,,Fixed,Pollinator,,
Novel Reber Solar CSG,Habitat,1.5,8,2019,,Fixed,Pollinator,,
OE 1 Armstrong Solar,Habitat,3.5,23.9,,,Single-axis Tracking,Pollinator,,
OE Solar 2 Blazing Star,Habitat,3.5,24.6,,,,Pollinator,,
OE Solar 3 PV,Habitat,2,19.77,2022,,Single-axis Tracking,Pollinator,,
OSU 53rd Street Solar Array,Crop Production,0.289,1.6,2013,Monofacial PV,Fixed,,,
OSU Vegetable Research Farm Solar Array,Crop Production,0.65,1.6,,Monofacial PV,Fixed,,,
Oberlin Spear Point,Grazing,2.3,12,2012,Monofacial PV,Single-axis Tracking,,,Sheep
Olney Solar II Array,Habitat,2.7,14.68,2021,,Single-axis Tracking,Pollinator,,
"Omni Navitas Holdings, LLC",Grazing,4.6,22,2022,,Single-axis Tracking,,,Sheep
Organic Valley,Habitat,2.75,8.4,2019,Monofacial PV,Single-axis Tracking,"Pollinator, Native grasses",,
Orion Community Solar,"Habitat,Grazing",3.9,25.3,2017,Other,Fixed,Pollinator,,Sheep
Oxford Road,Grazing,0.65,3,2016,,Fixed,,,Sheep
Palmer Sykes St Sheep Agrivoltaic Project,Grazing,8.6,23.3,2023,Bifacial PV,Fixed,Pollinator,,Sheep
Patterson Road North,Grazing,1,7,2018,,Fixed,,,Sheep
Patterson Road South,Grazing,0.53,3,2018,,Fixed,,,Sheep
Paw Paw Project 1,Habitat,2.7,16.05,,,Single-axis Tracking,Pollinator,,
Paynesville Community Solar,"Habitat,Grazing",6.5,33.7,2016,Other,Fixed,Pollinator,,Sheep
Pegasus Community Solar,"Habitat,Grazing",2.6,11.59,2017,Other,Fixed,Pollinator,,Sheep
Penfield,Habitat,6.1,28,2020,,Single-axis Tracking,Pollinator,,
Penn State Orchard Rd,Habitat,2,15,2018,,Fixed,Pollinator,,
Penn State Whitetail 1,Grazing,18.23,166,2019,Bifacial PV,Single-axis Tracking,,,Sheep
Penn State Whitetail 2,Habitat,27,167,2020,Bifacial PV,Single-axis Tracking,Pollinator,,
Penn State Whitetail 3,Habitat,27,167,2020,Bifacial PV,Single-axis Tracking,Pollinator,,
Penn Yan Solar I,Grazing,7.2,,2017,,,,,Sheep
Pennsylvania: habitat,Habitat,1.83,5,2018,,Fixed,Pollinator,,
Perdue Salisbury Photovoltaic,Habitat,1.2,2.5,2011,,Fixed,Pollinator,,
Pheasant Solar,Habitat,1.4,7.5,2020,,Single-axis Tracking,Pollinator,,
Pine Island,Habitat,6.5,42.3,2016,Monofacial PV,Single-axis Tracking,Pollinator,,
Pivot Energy Minnesota Solar 01 LLC,Grazing,1.2,7.2,2023,Bifacial PV,Single-axis Tracking,,,Sheep
"Pivot Solar 1, LLC",Grazing,5,32.5,2022,,Single-axis Tracking,,,Sheep
Pivot Solar NY 3,Grazing,2.3,15,,,Single-axis Tracking,,,Sheep
Pivot Solar NY 4,Grazing,14.25,2.8,2022,,,,,Sheep
Pivot Solar NY 5,Grazing,2.5,15.25,,,Single-axis Tracking,,,Sheep
"Pivot Solar NY 6, LLC",Grazing,5,24,,,,,,Sheep
Plumas Sierra,Habitat,3.3,15,2018,,Single-axis Tracking,Pollinator,,
Podunque Road (CSG),Grazing,6.8,21,2021,,Fixed,,,Sheep
Point Beach Solar,Habitat,141,363,2021,,Single-axis Tracking,Pollinator,,
Pollux Community Solar,"Habitat,Grazing",0.9,4.83,,,Fixed,Pollinator,,Sheep
Ponduque Road (CSG),Grazing,6.8,18.8,2021,,Fixed,,,Sheep
Porcher Solar,Habitat,0.85,4.25,2018,,Fixed,Pollinator,,
Porter Way Community Solar Garden,Habitat,3.9,14.7,2018,,Fixed,Pollinator,,
Prairie Fire,Grazing,5,24,2012,,Fixed,,,Sheep
Prairie Wolf Solar,Habitat,255,1500,2021,Other,Single-axis Tracking,"Naturalized, Pollinator, Native grasses",,
"Primrose Solar, LLC",Habitat,1.5,6.99,2021,,Single-axis Tracking,Pollinator,,
Providence Solar Farm,Grazing,19.9,177,2017,Other,Single-axis Tracking,,,Sheep
Pulaski Solar Center,Grazing,2.25,28,,,Fixed,,,Sheep
Putnam Solar,Grazing,5,18.7,,,,,,Sheep
RAREC Upper Deerfield,Crop Production,0.255,3.41,,,Single-axis Tracking,,Grain and specialty crops,
"RE Adams East, LLC",Grazing,24.9,160,2014,Other,Single-axis Tracking,,,Sheep
"RE Kansas Solar, LLC",Grazing,27.1,185,2014,Other,Single-axis Tracking,,,Sheep
"RE Kent South, LLC",Grazing,26.3,160,2014,Other,Single-axis Tracking,,,Sheep
"RJC CSG, LLC",Grazing,1.5,6.2,2021,,Fixed,,,Sheep
"Rancho Seco Solar II, LLC","Habitat,Grazing",212.8,554,2021,,Fixed,Pollinator,,Sheep
"Rancho Seco Solar, LLC",Grazing,12.5,60.7,2016,Other,Single-axis Tracking,,,Sheep
Randolph CSG PV1-5,"Habitat,Grazing",6.5,40,2019,,Fixed,Native grasses,,Sheep
Randolph Central Schools: Winchester Community High School,Habitat,0.7,2.5,2021,,Fixed,Pollinator,,
Rapidan Solar,Habitat,0.6,6.3,2019,,Single-axis Tracking,Pollinator,,
Red Horse,Grazing,75.9,855,2015,Other,Single-axis Tracking,,,Sheep
Red Maple,Habitat,3.9,18,2018,,Single-axis Tracking,Pollinator,,
Red Wing Community Solar,Habitat,6.1,33,2016,,Fixed,Pollinator,,
Redcrest Solar Farm,Grazing,20.9,120,2015,Other,Single-axis Tracking,,,Sheep
Reindeer Solar,Habitat,1.4,7.5,2020,,Single-axis Tracking,Pollinator,,
Richardson,Grazing,1,6,2016,,Fixed,,,Sheep
Richmond CSG,Habitat,7,32,2017,Monofacial PV,Fixed,Pollinator,,
River Road,Grazing,1,5,2016,,Fixed,,,Sheep
Riverstart Solar Park,"Habitat,Grazing",220,1400,2021,,Single-axis Tracking,Pollinator,,Sheep
Riverstart Solar Pilot Project,Grazing,200,1966,2022,,,,,Sheep
Rockford CS LLC 1 PV,Habitat,2.6,10.72,2021,,Single-axis Tracking,Pollinator,,
Rockford CS LLC 2 PV,Habitat,2.6,11.1,2021,,Single-axis Tracking,Pollinator,,
Rockford Solar,Habitat,2.6,9.3,2021,,Fixed,Pollinator,,
Rockpoint solar,Habitat,1.4,8.4,2018,Monofacial PV,Single-axis Tracking,Pollinator,,
Rosemount Community Solar,"Habitat,Grazing",6.5,33.65,2016,Other,Fixed,Pollinator,,Sheep
Round Grove,Habitat,2.4,32,,,,Pollinator,,
Route 76 Boone Solar 1 PV,Habitat,2.7,14.35,2020,,Single-axis Tracking,Pollinator,,
SUNY Cortland,Grazing,1.118,4,,,Fixed,,,Sheep
Saffron in Vermont,Crop Production,0.015,0.1,2018,Monofacial PV,Fixed,,Saffron,
Sagitta Community Solar,Habitat,1.5,6.15,2018,Other,Fixed,Native grasses,,
Salem,Habitat,0.616,5,2021,,Fixed,Pollinator,,
Sand Lake DPC Solar,Habitat,1.5,10.5,2017,,Single-axis Tracking,Pollinator,,
Sauk DPC Solar,Habitat,1.2,8.6,2017,,Single-axis Tracking,Pollinator,,
Scandia CSG,Habitat,5,62.4,2018,,Single-axis Tracking,Native grasses,,
Schull,Habitat,1.4,7.3,2021,,Single-axis Tracking,Pollinator,,
Schultz CSG,Habitat,2.6,12.67,2018,,Fixed,Native grasses,,
Schwinghamer Project CSG,Habitat,1.4,10,2019,,Fixed,Pollinator,,
Selmer I Solar Farm,Grazing,19.9,120,2016,Other,Single-axis Tracking,,,Sheep
Seneca,Grazing,5.2,20,2018,Monofacial PV,Fixed,,,Sheep
Shamrock/Blue Prarie,Habitat,3.1,15.5,2021,Bifacial PV,Fixed,Pollinator,,
Shelburne Museum,Habitat,0.78,4.5,2020,,Fixed,Pollinator,,
Shelburne Museum South,Habitat,0.15,1.35,2021,,Fixed,Pollinator,,
Sherco Solar Phase 1,Habitat,230,1500,2023,,,Pollinator,,
Shrewsbury Solar,Grazing,3.5,12,2012,,Fixed,,,Sheep
Sidney Solar PV,Habitat,2.9,14.9,2021,,Single-axis Tracking,Pollinator,,
Site 1 TR,Grazing,2.7,12,2019,Monofacial PV,Fixed,,,Sheep
Site 3 GR- To be grazed in 2020,Grazing,6.3,30,2019,Monofacial PV,Fixed,,,Sheep
Skipjack Solar Center,Grazing,175,2200,2021,,Single-axis Tracking,,,Sheep
Slate Solar PV Park,Grazing,390,2120,2022,Bifacial PV,Single-axis Tracking,,,Sheep
Slidematic,Habitat,2.5,10.72,2022,,Single-axis Tracking,Pollinator,,
Snipesville I Ranch,Grazing,122.8,1500,2020,,Single-axis Tracking,,,Sheep
Snipesville II Solar Farm,Grazing,152,1850,2021,Other,Single-axis Tracking,,,Sheep
Snipesville III Ranch,Grazing,150,1850,2023,,,,,Sheep
Snyder Farm Pittstown,Crop Production,0.095,1.42,,,Single-axis Tracking,,Hay,
Solar Dawn,Habitat,1.4,9.8,2018,,Single-axis Tracking,Pollinator,,
Solar Farm 2.0 (Northern Cardinal),Habitat,12.32,54,2021,Bifacial PV,Single-axis Tracking,Pollinator,,
Solar Grazing at Susquehanna University,Grazing,3.9,14,2018,,Fixed,,,Sheep
Solar Harvest,Crop Production,0.326,5,2023,,Single-axis Tracking,,"Alfalfa, arugula, beets, bok choy, cabbage, carrots, chard, garlic, hemp, onions, parsley, radish, spinach, sweet potato, turnips, and yams",
"Solar Park Energy, LLC",Grazing,5,33.25,,,,,,Sheep
Solar Pollinator Habitat Discovery Trail,Habitat,0.2756,1.5,2019,,Fixed,Pollinator,,
Solar Rapids,Habitat,1.4,8.8,2019,,Single-axis Tracking,Pollinator,,
Solar Sheep LLC,Grazing,,,2014,Monofacial PV,Fixed,,,Sheep
Solar Shepherd,"Habitat,Grazing",5.1,15,2021,,Fixed,Pollinator,,Sheep
Solar Sources Solar,Habitat,1.4,10.6,2020,,Single-axis Tracking,Pollinator,,
Solar Way,Habitat,1.4,8.9,2020,,Single-axis Tracking,Pollinator,,
